target,model,positive_rate,positive_count,negative_count,f1_pos_mean,f1_pos_std,f1_macro_mean,f1_macro_std,accuracy_mean,balanced_accuracy_mean,precision_pos_mean,recall_pos_mean,baseline_f1_pos,improvement_vs_baseline,validity
운동시설,LogisticRegression,0.3357079252003562,377,746,0.42269389231062293,0.030152471027247822,0.5257863148518968,0.019981593575464245,0.5485436507936507,0.5350131873307429,0.3703694258439013,0.493578947368421,0.0,0.42269389231062293,유의미
교육_학습시설,LogisticRegression,0.31255565449688333,351,772,0.4239589831055949,0.060141345613520386,0.5448690928375584,0.027115671896565646,0.578829365079365,0.55875546534338,0.36917080771579996,0.5047082494969819,0.0,0.4239589831055949,유의미
키즈시설,RandomForest,0.5529830810329475,621,502,0.5797862380720327,0.021269757231125695,0.5474770637416058,0.01740398903170023,0.5503055555555556,0.548980198019802,0.6002911740854229,0.562,0.7121553018005937,-0.13236906372856105,재검토
시니어시설,RandomForest,0.4541406945681211,510,613,0.534311437824455,0.037084733049213156,0.5645700208024219,0.022250982219824397,0.5672619047619047,0.5656866665098667,0.5218077558019591,0.5490196078431373,0.0,0.534311437824455,유의미
공유오피스_회의,LogisticRegression,0.17542297417631345,197,926,0.29541607960834815,0.012298731027569162,0.4671788923258814,0.027303449722503193,0.524420634920635,0.5417547448192609,0.20038442092933365,0.5684615384615385,0.0,0.29541607960834815,유의미
라운지_휴게,RandomForest,0.15672306322350846,176,947,0.28876771041472044,0.06491225965417322,0.5440043807494748,0.04404458546215294,0.6874007936507937,0.571723753829017,0.22700235417104803,0.4031746031746032,0.0,0.28876771041472044,유의미
