target,Dummy_majority,LogisticRegression,RandomForest
공유오피스_회의,0.45192784913768147,0.4671788923258814,0.5264000188195227
교육_학습시설,0.40738734846497654,0.5448690928375584,0.5391086081425984
라운지_휴게,0.45748772540419597,0.48520797413649674,0.5440043807494748
시니어시설,0.353109427944987,0.5576746834206826,0.5645700208024219
운동시설,0.39914381155825723,0.5257863148518968,0.5350228236358179
키즈시설,0.35607765090029686,0.5487575842462781,0.5474770637416058
