건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,구,동,총인구수,ratio_child,ratio_elderly,ratio_young,ratio_middle,전체세대,ratio_1person,ratio_2person,ratio_3plus,카페수,헬스장수,학원수,기타학원수,독서실수,사우나수
등촌1구역 재건축,서울특별시 강서구 등촌동 366-24번지,0,0,1,1,0,0,0,0,강서구,등촌동,73227.0,0.0472230188318516,0.2823685252707335,0.1395660070738935,0.3373072773703688,38534.0,0.5083822079202782,0.2269943426584315,0.2646234494212903,145.0,83.0,119.0,171.0,14.0,10.0
등촌동 장기전세주택,서울특별시 강서구 등촌동 661-6번지,1,0,1,0,0,0,1,0,강서구,등촌동,73227.0,0.0472230188318516,0.2823685252707335,0.1395660070738935,0.3373072773703688,38534.0,0.5083822079202782,0.2269943426584315,0.2646234494212903,145.0,83.0,119.0,171.0,14.0,10.0
등촌동리본타워,서울특별시 강서구 등촌동 661-6번지,1,0,1,0,0,0,1,0,강서구,등촌동,73227.0,0.0472230188318516,0.2823685252707335,0.1395660070738935,0.3373072773703688,38534.0,0.5083822079202782,0.2269943426584315,0.2646234494212903,145.0,83.0,119.0,171.0,14.0,10.0
등촌역 역세권 청년주택,서울특별시 강서구 등촌동 533-2번지,0,0,1,0,0,0,0,0,강서구,등촌동,73227.0,0.0472230188318516,0.2823685252707335,0.1395660070738935,0.3373072773703688,38534.0,0.5083822079202782,0.2269943426584315,0.2646234494212903,145.0,83.0,119.0,171.0,14.0,10.0
등촌제이스카이,서울특별시 강서구 염창동 311번지,0,0,1,0,1,0,0,0,강서구,염창동,40921.0,0.0792747000317685,0.1877764473008968,0.1234573935143324,0.3529239265902593,16650.0,0.3067867867867868,0.2143543543543543,0.4788588588588588,61.0,39.0,99.0,84.0,8.0,7.0
디에이치 반포 라클라스,서울특별시 서초구 반포동 32-8번지,1,1,1,1,0,1,1,0,서초구,반포동,77882.0,0.0858606609999743,0.1960915230733674,0.1067640789912945,0.3201509976631314,30286.0,0.2948226903519778,0.1910123489401043,0.5141649607079178,182.0,109.0,383.0,338.0,32.0,21.0
디에이치 자이 개포,서울특별시 강남구 일원동 611-1번지,0,1,1,1,0,0,0,0,강남구,일원동,47442.0,0.0716453775135955,0.2269508030858733,0.1087222292483453,0.3165338729395894,18557.0,0.2714339602306407,0.2329579134558387,0.4956081263135205,26.0,23.0,22.0,44.0,4.0,2.0
디에이치아너힐즈,서울특별시 강남구 개포동 138번지,0,0,1,0,0,0,0,0,강남구,개포동,89148.0,0.0747857495400906,0.2448961277874994,0.1042199488491048,0.3097882173464351,35453.0,0.2666064931035455,0.2441542323639748,0.4892392745324796,72.0,55.0,120.0,195.0,18.0,11.0
디큐브시티,서울특별시 구로구 신도림동 692번지,1,0,1,1,1,1,1,0,구로구,신도림동,35853.0,0.0796307143056369,0.2135386160153962,0.1139095752098848,0.3414777006108275,14405.0,0.2832349878514404,0.2369316209649427,0.4798333911836168,49.0,20.0,53.0,61.0,9.0,4.0
라온프라이빗,서울특별시 중랑구 면목동 1544번지,0,1,1,1,0,0,0,0,중랑구,면목동,131788.0,0.0431678149755668,0.3180183324733663,0.124396758430206,0.2878259022065741,68469.0,0.4805824533730593,0.2504198980560546,0.2689976485708861,135.0,60.0,78.0,123.0,11.0,14.0
라이품,서울특별시 강서구 가양동 1457-1번지,0,0,0,0,0,0,0,0,강서구,가양동,41559.0,0.0450684568926105,0.3677903703168989,0.0996655357443634,0.3131451671118169,22269.0,0.4943194575418743,0.2618887242354843,0.2437918182226413,257.0,106.0,37.0,194.0,6.0,44.0
라이프타운,서울특별시 구로구 궁동 134-2번지,0,0,0,0,0,0,0,0,구로구,궁동,13757.0,0.0447772043323399,0.3280511739478083,0.1170313295049792,0.2600857745147925,6231.0,0.3633445674851548,0.2790884288236238,0.3575670036912213,103.9,50.9,72.7,123.0,11.3,18.5
래미안 개포 루체하임,서울특별시 강남구 일원동 689-1번지,0,0,1,1,0,0,0,0,강남구,일원동,47442.0,0.0716453775135955,0.2269508030858733,0.1087222292483453,0.3165338729395894,18557.0,0.2714339602306407,0.2329579134558387,0.4956081263135205,26.0,23.0,22.0,44.0,4.0,2.0
래미안 대치 팰리스,서울특별시 강남구 대치동 633번지,1,1,1,1,0,1,1,0,강남구,대치동,79844.0,0.0537422974800861,0.186864385551826,0.1085992685737187,0.2959896798757577,30168.0,0.2778440731901352,0.1774065234685759,0.5447494033412887,249.0,127.0,1240.0,434.0,130.0,30.0
래미안 라그란데,서울특별시 동대문구 이문동 257-42번지,0,1,1,1,0,0,0,0,동대문구,이문동,35335.0,0.0417150134427621,0.279779255695486,0.2116598273666336,0.2395075703976227,18593.0,0.5334265583821869,0.1951809820900338,0.2713924595277793,75.0,12.0,69.0,66.0,12.0,1.0
래미안 로이파크,서울특별시 동작구 사당동 167-19번지,1,1,1,1,1,0,1,1,동작구,사당동,95098.0,0.0488338345706534,0.2822561988685356,0.1534627436959768,0.3189972449473175,48775.0,0.4852485904664275,0.2303434136340338,0.2844079958995387,146.0,54.0,138.0,220.0,21.0,26.0
래미안 루센티아,서울특별시 서대문구 남가좌동 175번지,1,1,1,1,0,1,1,1,서대문구,남가좌동,45212.0,0.0884499690347695,0.2299610722816951,0.1201229762010085,0.3128151818101389,19448.0,0.3576203208556149,0.2162690250925545,0.4261106540518305,81.0,28.0,81.0,74.0,9.0,3.0
래미안 마포 리버웰,서울특별시 마포구 용강동 285번지,1,1,1,1,0,1,1,0,마포구,용강동,7339.0,0.0892492165145115,0.1970295680610437,0.0900667665894536,0.3497751737293909,3091.0,0.3241669362665804,0.2135231316725978,0.4623099320608217,65.0,39.0,73.0,83.0,6.0,8.0
래미안 목동아델리체,서울특별시 양천구 신정동 1175-28번지,1,1,1,1,0,0,1,0,양천구,신정동,169239.0,0.0563049888028173,0.2577420098204314,0.1171715739279953,0.2786355390896897,69277.0,0.3077356121079146,0.2324725377831026,0.4597918501089827,217.0,136.0,598.0,438.0,67.0,26.0
래미안 미드카운티,서울특별시 동대문구 답십리동 98번지,1,1,1,1,0,1,1,0,동대문구,답십리동,54592.0,0.0666214830011723,0.2739412368112544,0.1227102872215709,0.3188379249706917,25383.0,0.4018043572469763,0.2447701217350195,0.3534255210180042,56.0,42.0,67.0,112.0,9.0,6.0
래미안 베라힐즈,서울특별시 은평구 녹번동 19번지,1,0,1,1,0,0,1,0,은평구,녹번동,35289.0,0.0533027288956898,0.3028139080166624,0.1206324917112981,0.3030122701124996,17481.0,0.4403638235798867,0.2569647045363538,0.3026714718837595,48.0,18.0,50.0,84.0,9.0,9.0
래미안 서초 에스티지S,서울특별시 서초구 서초동 1331번지,0,1,1,1,0,0,0,0,서초구,서초동,104990.0,0.0632345937708353,0.2129345651966854,0.1359653300314315,0.3272692637394037,46673.0,0.4094658582049579,0.1912883251558717,0.3992458166391704,488.0,243.0,352.0,763.0,48.0,53.0
래미안 서초스위트,서울특별시 서초구 서초동 1301-6번지,0,1,1,1,1,0,0,0,서초구,서초동,104990.0,0.0632345937708353,0.2129345651966854,0.1359653300314315,0.3272692637394037,46673.0,0.4094658582049579,0.1912883251558717,0.3992458166391704,488.0,243.0,352.0,763.0,48.0,53.0
래미안 송파 파인탑,서울특별시 송파구 송파동 167번지,1,0,1,1,0,0,1,0,송파구,송파동,41362.0,0.0491755717808616,0.2454668536337701,0.145931047821672,0.3464049127218219,19722.0,0.4378359192779636,0.2275631274718588,0.3346009532501774,139.0,66.0,88.0,168.0,14.0,9.0
래미안 신반포 팰리스,서울특별시 서초구 잠원동 57번지,1,0,1,1,0,1,1,0,서초구,잠원동,50209.0,0.0695293672449162,0.2019956581489374,0.1158358063295425,0.2963014598976279,18907.0,0.2486909610197281,0.1988681440736235,0.5524408949066484,54.0,24.0,69.0,138.0,4.0,15.0
래미안 아름숲,서울특별시 동대문구 전농동 688번지,0,0,1,1,0,1,0,0,동대문구,전농동,50201.0,0.0561542598753012,0.2877631919682875,0.1364116252664289,0.2810103384394733,23995.0,0.4343821629506147,0.229506147113982,0.3361116899354032,72.0,27.0,78.0,96.0,16.0,6.0
래미안 아트리치,서울특별시 성북구 석관동 58-56번지,0,1,1,1,0,0,0,0,성북구,석관동,33201.0,0.0466853408029878,0.326947983494473,0.1326164874551971,0.2692991174964609,16647.0,0.452093470294948,0.2515167898119781,0.2963897398930738,41.0,29.0,32.0,42.0,2.0,7.0
래미안 에스티지,서울특별시 서초구 서초동 1332-1번지,1,1,1,1,1,0,1,0,서초구,서초동,104990.0,0.0632345937708353,0.2129345651966854,0.1359653300314315,0.3272692637394037,46673.0,0.4094658582049579,0.1912883251558717,0.3992458166391704,488.0,243.0,352.0,763.0,48.0,53.0
래미안 엘리니티,서울특별시 동대문구 용두동 753-9번지,1,1,1,1,0,1,1,0,동대문구,용두동,34674.0,0.0510180538732191,0.2514852627328834,0.1690603910711195,0.3258349195362519,18959.0,0.5494488105912759,0.2019621288042618,0.2485890606044622,45.0,20.0,7.0,20.0,2.0,6.0
래미안 원베일리,서울특별시 서초구 반포동 1-1번지,1,1,1,0,0,1,1,0,서초구,반포동,77882.0,0.0858606609999743,0.1960915230733674,0.1067640789912945,0.3201509976631314,30286.0,0.2948226903519778,0.1910123489401043,0.5141649607079178,182.0,109.0,383.0,338.0,32.0,21.0
래미안 원펜타스,서울특별시 서초구 반포동 12번지,1,1,1,1,0,0,1,0,서초구,반포동,77882.0,0.0858606609999743,0.1960915230733674,0.1067640789912945,0.3201509976631314,30286.0,0.2948226903519778,0.1910123489401043,0.5141649607079178,182.0,109.0,383.0,338.0,32.0,21.0
래미안 장위 퍼스트하이,서울특별시 성북구 장위동 173-114번지,1,1,1,1,1,1,1,0,성북구,장위동,50916.0,0.0620630057349359,0.284880980438369,0.1255401052714274,0.2849006206300573,23550.0,0.3963906581740977,0.2481104033970276,0.3554989384288747,44.0,25.0,50.0,62.0,4.0,4.0
래미안 크레시티,서울특별시 동대문구 전농동 440-9번지,1,1,1,1,0,0,1,0,동대문구,전농동,50201.0,0.0561542598753012,0.2877631919682875,0.1364116252664289,0.2810103384394733,23995.0,0.4343821629506147,0.229506147113982,0.3361116899354032,72.0,27.0,78.0,96.0,16.0,6.0
래미안 트리베라 1차,서울특별시 강북구 미아동 1268-1번지,1,1,1,1,0,0,1,0,강북구,미아동,125075.0,0.0431980811513092,0.3171137317609434,0.1251569058564861,0.2609874075554667,60812.0,0.4423469052160758,0.2408241794382687,0.3168289153456554,38.0,16.0,19.0,30.0,4.0,6.0
래미안 트리베라 2차,서울특별시 강북구 미아동 1265-42번지,1,1,1,1,1,0,1,0,강북구,미아동,125075.0,0.0431980811513092,0.3171137317609434,0.1251569058564861,0.2609874075554667,60812.0,0.4423469052160758,0.2408241794382687,0.3168289153456554,38.0,16.0,19.0,30.0,4.0,6.0
래미안 트윈파크(본동5 재개발아파트),서울특별시 동작구 본동 250번지,1,1,1,1,0,1,1,0,동작구,본동,10563.0,0.0574647353971409,0.2913944902016472,0.1138880999715989,0.3244343463031335,4960.0,0.3981854838709677,0.2683467741935484,0.3334677419354839,121.8,48.5,114.6,159.2,28.6,12.2
래미안월곡아파트,서울특별시 성북구 하월곡동 225번지,0,0,0,0,1,0,0,0,성북구,하월곡동,37942.0,0.0555584840018976,0.2750777502503821,0.1338358547256338,0.2778714880607242,17169.0,0.3957132040305201,0.231114217485002,0.3731725784844778,63.2,28.7,74.7,82.8,9.6,4.9
래미안위브,서울특별시 동대문구 답십리동 178번지,0,1,1,1,0,0,0,0,동대문구,답십리동,54592.0,0.0666214830011723,0.2739412368112544,0.1227102872215709,0.3188379249706917,25383.0,0.4018043572469763,0.2447701217350195,0.3534255210180042,56.0,42.0,67.0,112.0,9.0,6.0
래미안종암2차,서울특별시 성북구 종암동 78번지,1,1,1,1,0,0,1,0,성북구,종암동,36877.0,0.0522005586137701,0.2785476041977384,0.1414431759633375,0.2700328117797,16929.0,0.4056943706066513,0.2288380884872113,0.3654675409061374,45.0,25.0,60.0,82.0,14.0,5.0
래미안트리베라아파트,서울특별시 강북구 미아동 812번지,0,0,0,0,0,0,0,0,강북구,미아동,125075.0,0.0431980811513092,0.3171137317609434,0.1251569058564861,0.2609874075554667,60812.0,0.4423469052160758,0.2408241794382687,0.3168289153456554,38.0,16.0,19.0,30.0,4.0,6.0
래미인 그레이튼,서울특별시 강남구 역삼동 762번지,1,1,1,1,0,0,1,0,강남구,역삼동,68953.0,0.0400417675808159,0.152857743680478,0.1558742911838498,0.4017664206053398,39460.0,0.6150532184490624,0.1444247339077546,0.2405220476431829,570.0,261.0,197.0,631.0,40.0,54.0
렉스아파트,서울특별시 용산구 이촌동 300-3번지,1,0,1,1,0,0,1,0,용산구,이촌동,32150.0,0.0765785381026438,0.2663763608087092,0.100964230171073,0.2915707620528771,12662.0,0.2442742062865266,0.2597535934291581,0.4959722002843152,20.0,8.0,22.0,35.0,3.0,2.0
롯데 캐슬 갤럭시 아파트,서울특별시 서초구 잠원동 50-1번지,0,0,0,0,1,0,0,0,서초구,잠원동,50209.0,0.0695293672449162,0.2019956581489374,0.1158358063295425,0.2963014598976279,18907.0,0.2486909610197281,0.1988681440736235,0.5524408949066484,54.0,24.0,69.0,138.0,4.0,15.0
롯데캐슬,서울특별시 양천구 신월동 432-6번지,0,0,1,1,0,0,0,0,양천구,신월동,115824.0,0.0513192429893631,0.3212114933001795,0.1093124050283188,0.2781893217295206,53742.0,0.3931747981094861,0.2591083324029623,0.3477168694875516,116.0,78.0,144.0,172.0,12.0,15.0
롯데캐슬 리버파크 시그니처,서울특별시 광진구 자양동 236-9번지,1,1,1,1,0,0,1,0,광진구,자양동,91114.0,0.04685339245341,0.2736901025089448,0.1474745922690256,0.3048378953838049,44985.0,0.4590419028565077,0.2289652106257641,0.3119928865177281,193.0,83.0,104.0,221.0,25.0,28.0
롯데캐슬 아르떼,서울특별시 서초구 방배동 427-1번지,1,1,1,1,0,1,1,0,서초구,방배동,92677.0,0.0552887987310767,0.2554787056119641,0.1212814398394423,0.2988659537965191,39045.0,0.3370726085286208,0.2357792290946344,0.4271481623767448,197.0,106.0,161.0,336.0,13.0,16.0
롯데캐슬 클라시아,서울특별시 성북구 길음동 508-16번지,1,1,1,1,0,0,1,0,성북구,길음동,54703.0,0.0867411293713324,0.2043763596146463,0.1008171398277973,0.3103486097654607,20368.0,0.2235369206598586,0.2229968578161822,0.5534662215239592,58.0,18.0,131.0,108.0,11.0,6.0
루미아,서울특별시 성북구 하월곡동 88-513번지,0,1,0,0,0,0,0,1,성북구,하월곡동,37942.0,0.0555584840018976,0.2750777502503821,0.1338358547256338,0.2778714880607242,17169.0,0.3957132040305201,0.231114217485002,0.3731725784844778,63.2,28.7,74.7,82.8,9.6,4.9
리마크빌 구의,서울특별시 광진구 구의동 246-10번지,1,1,0,0,0,0,1,1,광진구,구의동,75353.0,0.046248988096028,0.2503417249479118,0.1547250938914177,0.311971653417913,36702.0,0.4548525965887418,0.2219770039779848,0.3231703994332734,154.0,92.0,175.0,211.0,29.0,21.0
리버뷰 신안인스빌,서울특별시 영등포구 문래동4가 68번지,0,0,1,0,0,0,0,0,영등포구,문래동4가,,0.0529698536468082,0.2973977912759866,0.1299525382609814,0.2972207997685505,,0.4595823513189234,0.236341199162076,0.3040764495190005,121.0,50.0,46.0,144.0,7.0,6.0
리치안 풍산아파트,서울특별시 구로구 온수동 154번지,0,0,1,0,0,0,0,0,구로구,온수동,8559.0,0.0459165790396074,0.3264400046734431,0.0996611753709545,0.2885851150835378,3757.0,0.3212669683257919,0.3076923076923077,0.3710407239819004,103.9,50.9,72.7,123.0,11.3,18.5
림괄아파트,서울특별시 구로구 개봉동 199-4번지,0,0,1,1,0,0,0,0,구로구,개봉동,81213.0,0.0519621242904461,0.3299841158435226,0.1092435940058857,0.2799921194882592,35932.0,0.3347990649003673,0.2854836914171212,0.3797172436825114,91.0,40.0,91.0,120.0,13.0,20.0
마곡 13단지 힐스테이트 마스터,서울특별시 강서구 마곡동 748번지,1,1,1,1,1,1,1,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡 노블리안 아파트,서울특별시 강서구 방화동 184-17번지,0,0,0,0,1,0,0,0,강서구,방화동,60833.0,0.0443509279502901,0.3334867588315552,0.1101540282412506,0.3013167195436687,31300.0,0.4803833865814697,0.2459424920127795,0.2736741214057508,135.0,60.0,112.0,162.0,16.0,19.0
마곡 엠밸리 9단지,서울특별시 강서구 마곡동 744번지,0,0,1,1,0,0,0,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡 우촌아파트,서울특별시 강서구 방화동 597번지,0,0,0,0,0,1,0,0,강서구,방화동,60833.0,0.0443509279502901,0.3334867588315552,0.1101540282412506,0.3013167195436687,31300.0,0.4803833865814697,0.2459424920127795,0.2736741214057508,135.0,60.0,112.0,162.0,16.0,19.0
마곡 힐스테이트,서울특별시 강서구 공항동 4-8번지,1,1,1,1,0,0,1,0,강서구,공항동,17168.0,0.0332595526561043,0.2910647716682199,0.1517357875116495,0.3171598322460391,9979.0,0.5808197214149714,0.2165547650065137,0.2026255135785148,46.0,24.0,60.0,69.0,2.0,2.0
마곡센트레빌,서울특별시 강서구 방화동 278-7번지,0,0,1,1,0,0,0,0,강서구,방화동,60833.0,0.0443509279502901,0.3334867588315552,0.1101540282412506,0.3013167195436687,31300.0,0.4803833865814697,0.2459424920127795,0.2736741214057508,135.0,60.0,112.0,162.0,16.0,19.0
마곡엠밸리11단지,서울특별시 강서구 마곡동 746번지,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡엠밸리12단지,서울특별시 강서구 마곡동 746-1번지,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡엠밸리14단지,서울특별시 강서구 마곡동 블록,1,1,1,1,0,0,1,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡엠밸리15단지,서울특별시 강서구 마곡동 블록,1,1,1,1,0,0,1,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡엠밸리1단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡엠밸리2단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡엠밸리3단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡엠밸리4단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡엠밸리5단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡엠밸리6단지,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡엠밸리7단지,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡엠밸리8단지,서울특별시 강서구 마곡동 741번지,1,0,1,1,0,0,1,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡지구 16단지 아파트,서울특별시 강서구 마곡동 블록,1,1,1,1,0,0,1,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡지구 9단지 SH 아파트,서울특별시 강서구 마곡동 블록,0,0,1,1,0,0,0,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마곡지구 SH아파트 7단지,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,강서구,마곡동,60660.0,0.0807286515001648,0.1609297725024728,0.159347181008902,0.3641608968018464,28873.0,0.4857825650261489,0.1676652928341357,0.3465521421397153,133.2,69.6,106.4,152.0,13.7,20.7
마루하우스,서울특별시 동대문구 장안동 94-27번지,0,0,0,0,0,0,0,0,동대문구,장안동,69578.0,0.0624766449164965,0.2681451033372617,0.1194486763057288,0.3196268935583086,32968.0,0.4276267896141713,0.2325285124969667,0.3398446978888619,128.0,85.0,140.0,150.0,16.0,21.0
마이플레이스,서울특별시 강남구 역삼동 792-7번지,0,0,0,0,0,0,0,0,강남구,역삼동,68953.0,0.0400417675808159,0.152857743680478,0.1558742911838498,0.4017664206053398,39460.0,0.6150532184490624,0.1444247339077546,0.2405220476431829,570.0,261.0,197.0,631.0,40.0,54.0
마천지구 3단지,서울특별시 송파구 마천동 블록,0,0,0,0,1,0,0,0,송파구,마천동,33169.0,0.0325002261147457,0.3727576954385118,0.107901956646266,0.2349482950948174,16247.0,0.4318335692743276,0.2637409983381547,0.3044254323875177,30.0,21.0,24.0,52.0,1.0,2.0
마포 하늘채 더리버,서울특별시 마포구 용강동 39-1번지,1,0,0,0,0,0,1,0,마포구,용강동,7339.0,0.0892492165145115,0.1970295680610437,0.0900667665894536,0.3497751737293909,3091.0,0.3241669362665804,0.2135231316725978,0.4623099320608217,65.0,39.0,73.0,83.0,6.0,8.0
마포구 공덕6구역 주택재개발 아파트,서울특별시 마포구 공덕동 119번지,1,1,1,1,1,0,1,0,마포구,공덕동,25223.0,0.0635927526463941,0.2255084644966895,0.1330135194068905,0.3541608849066328,12559.0,0.4657217931363962,0.2162592563102157,0.318018950553388,64.0,30.0,47.0,76.0,4.0,4.0
마포구 신공덕동 00도시형주택 신축공사,서울특별시 마포구 신공덕동 5-27번지,0,0,0,0,1,0,0,0,마포구,신공덕동,12191.0,0.0600442949717004,0.2298416864900336,0.1498646542531375,0.3332786481830859,5793.0,0.4289659934403591,0.2311410322803383,0.3398929742793026,94.0,27.9,55.7,84.9,4.9,5.1
마포동원베네스트아파트,서울특별시 마포구 도화동 564번지,0,0,1,0,0,0,0,0,마포구,도화동,21122.0,0.0614051699649654,0.2577407442477038,0.1173184357541899,0.3344380267020168,9990.0,0.4284284284284284,0.2233233233233233,0.3482482482482482,49.0,16.0,22.0,75.0,7.0,11.0
마포래미안푸르지오,서울특별시 마포구 아현동 635번지,1,1,1,1,0,0,1,0,마포구,아현동,28131.0,0.0844619814439586,0.2294977071558067,0.1221783797234367,0.3455262877252852,12786.0,0.3768966056624433,0.2472235257312685,0.3758798686062881,51.0,23.0,49.0,61.0,2.0,5.0
"마포로 5구역 10,11지구 도시재개발정비사업",서울특별시 중구 중림동 186-1번지,1,1,1,1,1,0,1,0,중구,중림동,6207.0,0.0351216368616078,0.3338166586112454,0.1314644755920734,0.300467214435315,3537.0,0.5824144755442465,0.1936669493921402,0.2239185750636132,38.0,8.0,3.0,16.0,3.0,1.0
마포로3-3 조합아파트,서울특별시 마포구 아현동 613-10번지,1,0,1,1,0,0,1,0,마포구,아현동,28131.0,0.0844619814439586,0.2294977071558067,0.1221783797234367,0.3455262877252852,12786.0,0.3768966056624433,0.2472235257312685,0.3758798686062881,51.0,23.0,49.0,61.0,2.0,5.0
마포월드컵제이스카이아파트,서울특별시 마포구 망원동 523번지,0,0,0,0,0,0,0,0,마포구,망원동,36014.0,0.03951241183984,0.2590381518298439,0.148386738490587,0.3314266674071194,18379.0,0.4730942923989336,0.2494150933130203,0.2774906142880461,168.0,32.0,52.0,126.0,3.0,2.0
마포프레스티지자이,서울특별시 마포구 염리동 507번지,1,1,1,1,0,0,1,0,마포구,염리동,17927.0,0.0789312210632007,0.1893233669883416,0.1319796954314721,0.341384503821052,8119.0,0.4080551792092622,0.2055671880773494,0.3863776327133884,39.0,9.0,48.0,36.0,4.0,2.0
만리동 예술인 협동조합형 공공주택,서울특별시 중구 만리동2가 218-105번지,0,0,0,0,0,0,0,0,중구,만리동2가,,0.0474138486515548,0.2381357321191441,0.1364577372707663,0.3981227132192371,,0.5322412418381118,0.2462627254238541,0.221496032738034,77.3,15.9,5.3,20.0,2.2,6.1
만리동예술인협동조합주택,서울특별시 중구 만리동2가 218-105번지,0,0,0,0,0,0,0,0,중구,만리동2가,,0.0474138486515548,0.2381357321191441,0.1364577372707663,0.3981227132192371,,0.5322412418381118,0.2462627254238541,0.221496032738034,77.3,15.9,5.3,20.0,2.2,6.1
망우동 세움2차 아파트 신축공사,서울특별시 중랑구 망우동 207-16번지,0,0,0,0,1,0,0,0,중랑구,망우동,53280.0,0.0602289789789789,0.3092905405405405,0.1154466966966967,0.2975225225225225,27021.0,0.4741867436438325,0.2365937604085711,0.2892194959475963,14.0,9.0,14.0,15.0,1.0,0.0
망우역 신원아침도시,서울특별시 중랑구 신내동 488번지,0,0,0,0,1,0,0,0,중랑구,신내동,56276.0,0.0529177624564645,0.3148411400952449,0.106955007463217,0.271554481484114,23595.0,0.3080737444373808,0.2732782369146005,0.4186480186480186,65.0,37.0,110.0,105.0,13.0,8.0
망원동 동원데쟈뷰아파트,서울특별시 마포구 망원동 466-2번지,0,0,1,1,0,0,0,0,마포구,망원동,36014.0,0.03951241183984,0.2590381518298439,0.148386738490587,0.3314266674071194,18379.0,0.4730942923989336,0.2494150933130203,0.2774906142880461,168.0,32.0,52.0,126.0,3.0,2.0
메이플자이,서울특별시 서초구 잠원동 60-3번지,1,1,1,1,0,1,1,1,서초구,잠원동,50209.0,0.0695293672449162,0.2019956581489374,0.1158358063295425,0.2963014598976279,18907.0,0.2486909610197281,0.1988681440736235,0.5524408949066484,54.0,24.0,69.0,138.0,4.0,15.0
