건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,구,동,총인구수,ratio_child,ratio_elderly,ratio_young,ratio_middle,전체세대,ratio_1person,ratio_2person,ratio_3plus
래미안 장위 퍼스트하이,서울특별시 성북구 장위동 173-114번지,1,1,1,1,1,1,1,0,성북구,장위동,50916.0,0.06206300573493597,0.28488098043836907,0.12554010527142745,0.28490062063005733,23550.0,0.3963906581740977,0.2481104033970276,0.35549893842887476
래미안 크레시티,서울특별시 동대문구 전농동 440-9번지,1,1,1,1,0,0,1,0,동대문구,전농동,50201.0,0.05615425987530129,0.2877631919682875,0.13641162526642894,0.2810103384394733,23995.0,0.4343821629506147,0.22950614711398207,0.3361116899354032
래미안 트리베라 1차,서울특별시 강북구 미아동 1268-1번지,1,1,1,1,0,0,1,0,강북구,미아동,125075.0,0.043198081151309214,0.31711373176094343,0.12515690585648612,0.26098740755546673,60812.0,0.4423469052160758,0.24082417943826875,0.31682891534565544
래미안 트리베라 2차,서울특별시 강북구 미아동 1265-42번지,1,1,1,1,1,0,1,0,강북구,미아동,125075.0,0.043198081151309214,0.31711373176094343,0.12515690585648612,0.26098740755546673,60812.0,0.4423469052160758,0.24082417943826875,0.31682891534565544
래미안 트윈파크(본동5 재개발아파트),서울특별시 동작구 본동 250번지,1,1,1,1,0,1,1,0,동작구,본동,10563.0,0.05746473539714096,0.29139449020164726,0.11388809997159897,0.32443434630313356,4960.0,0.39818548387096775,0.2683467741935484,0.3334677419354839
래미안월곡아파트,서울특별시 성북구 하월곡동 225번지,0,0,0,0,1,0,0,0,성북구,하월곡동,37942.0,0.05555848400189763,0.27507775025038217,0.13383585472563386,0.27787148806072426,17169.0,0.3957132040305201,0.23111421748500205,0.3731725784844778
래미안위브,서울특별시 동대문구 답십리동 178번지,0,1,1,1,0,0,0,0,동대문구,답십리동,54592.0,0.06662148300117234,0.2739412368112544,0.12271028722157093,0.3188379249706917,25383.0,0.40180435724697633,0.2447701217350195,0.3534255210180042
래미안종암2차,서울특별시 성북구 종암동 78번지,1,1,1,1,0,0,1,0,성북구,종암동,36877.0,0.0522005586137701,0.27854760419773844,0.14144317596333758,0.27003281177970007,16929.0,0.4056943706066513,0.2288380884872113,0.3654675409061374
래미안트리베라아파트,서울특별시 강북구 미아동 812번지,0,0,0,0,0,0,0,0,강북구,미아동,125075.0,0.043198081151309214,0.31711373176094343,0.12515690585648612,0.26098740755546673,60812.0,0.4423469052160758,0.24082417943826875,0.31682891534565544
래미인 그레이튼,서울특별시 강남구 역삼동 762번지,1,1,1,1,0,0,1,0,강남구,역삼동,68953.0,0.040041767580815915,0.152857743680478,0.15587429118384988,0.40176642060533985,39460.0,0.6150532184490624,0.14442473390775468,0.24052204764318297
렉스아파트,서울특별시 용산구 이촌동 300-3번지,1,0,1,1,0,0,1,0,용산구,이촌동,32150.0,0.07657853810264385,0.2663763608087092,0.10096423017107309,0.29157076205287713,12662.0,0.2442742062865266,0.2597535934291581,0.49597220028431527
롯데 캐슬 갤럭시 아파트,서울특별시 서초구 잠원동 50-1번지,0,0,0,0,1,0,0,0,서초구,잠원동,50209.0,0.06952936724491625,0.20199565814893744,0.11583580632954252,0.2963014598976279,18907.0,0.24869096101972815,0.19886814407362352,0.5524408949066484
롯데캐슬,서울특별시 양천구 신월동 432-6번지,0,0,1,1,0,0,0,0,양천구,신월동,115824.0,0.05131924298936317,0.32121149330017956,0.10931240502831883,0.27818932172952066,53742.0,0.3931747981094861,0.2591083324029623,0.34771686948755165
롯데캐슬 리버파크 시그니처,서울특별시 광진구 자양동 236-9번지,1,1,1,1,0,0,1,0,광진구,자양동,91114.0,0.04685339245341001,0.2736901025089448,0.14747459226902562,0.3048378953838049,44985.0,0.4590419028565077,0.22896521062576414,0.3119928865177281
롯데캐슬 아르떼,서울특별시 서초구 방배동 427-1번지,1,1,1,1,0,1,1,0,서초구,방배동,92677.0,0.05528879873107675,0.2554787056119641,0.12128143983944237,0.2988659537965191,39045.0,0.3370726085286208,0.2357792290946344,0.4271481623767448
롯데캐슬 클라시아,서울특별시 성북구 길음동 508-16번지,1,1,1,1,0,0,1,0,성북구,길음동,54703.0,0.08674112937133246,0.20437635961464637,0.10081713982779737,0.31034860976546075,20368.0,0.2235369206598586,0.22299685781618225,0.5534662215239592
루미아,서울특별시 성북구 하월곡동 88-513번지,0,1,0,0,0,0,0,1,성북구,하월곡동,37942.0,0.05555848400189763,0.27507775025038217,0.13383585472563386,0.27787148806072426,17169.0,0.3957132040305201,0.23111421748500205,0.3731725784844778
리마크빌 구의,서울특별시 광진구 구의동 246-10번지,1,1,0,0,0,0,1,1,광진구,구의동,75353.0,0.04624898809602803,0.25034172494791185,0.15472509389141773,0.311971653417913,36702.0,0.4548525965887418,0.22197700397798484,0.3231703994332734
리버뷰 신안인스빌,서울특별시 영등포구 문래동4가 68번지,0,0,1,0,0,0,0,0,영등포구,문래동4가,,0.05296985364680829,0.2973977912759866,0.12995253826098144,0.29722079976855054,,0.45958235131892344,0.23634119916207605,0.3040764495190005
리치안 풍산아파트,서울특별시 구로구 온수동 154번지,0,0,1,0,0,0,0,0,구로구,온수동,8559.0,0.04591657903960743,0.32644000467344314,0.09966117537095455,0.2885851150835378,3757.0,0.3212669683257919,0.3076923076923077,0.37104072398190047
림괄아파트,서울특별시 구로구 개봉동 199-4번지,0,0,1,1,0,0,0,0,구로구,개봉동,81213.0,0.05196212429044611,0.3299841158435226,0.10924359400588576,0.27999211948825925,35932.0,0.33479906490036737,0.2854836914171212,0.3797172436825114
마곡 13단지 힐스테이트 마스터,서울특별시 강서구 마곡동 748번지,1,1,1,1,1,1,1,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡 노블리안 아파트,서울특별시 강서구 방화동 184-17번지,0,0,0,0,1,0,0,0,강서구,방화동,60833.0,0.04435092795029014,0.33348675883155526,0.11015402824125063,0.30131671954366873,31300.0,0.4803833865814697,0.24594249201277954,0.2736741214057508
마곡 엠밸리 9단지,서울특별시 강서구 마곡동 744번지,0,0,1,1,0,0,0,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡 우촌아파트,서울특별시 강서구 방화동 597번지,0,0,0,0,0,1,0,0,강서구,방화동,60833.0,0.04435092795029014,0.33348675883155526,0.11015402824125063,0.30131671954366873,31300.0,0.4803833865814697,0.24594249201277954,0.2736741214057508
마곡 힐스테이트,서울특별시 강서구 공항동 4-8번지,1,1,1,1,0,0,1,0,강서구,공항동,17168.0,0.03325955265610438,0.2910647716682199,0.15173578751164957,0.31715983224603916,9979.0,0.5808197214149714,0.2165547650065137,0.20262551357851488
마곡센트레빌,서울특별시 강서구 방화동 278-7번지,0,0,1,1,0,0,0,0,강서구,방화동,60833.0,0.04435092795029014,0.33348675883155526,0.11015402824125063,0.30131671954366873,31300.0,0.4803833865814697,0.24594249201277954,0.2736741214057508
마곡엠밸리11단지,서울특별시 강서구 마곡동 746번지,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡엠밸리12단지,서울특별시 강서구 마곡동 746-1번지,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡엠밸리14단지,서울특별시 강서구 마곡동 블록,1,1,1,1,0,0,1,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡엠밸리15단지,서울특별시 강서구 마곡동 블록,1,1,1,1,0,0,1,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡엠밸리1단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡엠밸리2단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡엠밸리3단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡엠밸리4단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡엠밸리5단지,서울특별시 강서구 마곡동 블록,0,1,1,1,0,0,0,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡엠밸리6단지,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡엠밸리7단지,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡엠밸리8단지,서울특별시 강서구 마곡동 741번지,1,0,1,1,0,0,1,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡지구 16단지 아파트,서울특별시 강서구 마곡동 블록,1,1,1,1,0,0,1,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡지구 9단지 SH 아파트,서울특별시 강서구 마곡동 블록,0,0,1,1,0,0,0,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마곡지구 SH아파트 7단지,서울특별시 강서구 마곡동 블록,1,0,1,1,0,0,1,0,강서구,마곡동,60660.0,0.08072865150016485,0.1609297725024728,0.15934718100890208,0.3641608968018464,28873.0,0.48578256502614897,0.1676652928341357,0.3465521421397153
마루하우스,서울특별시 동대문구 장안동 94-27번지,0,0,0,0,0,0,0,0,동대문구,장안동,69578.0,0.06247664491649659,0.26814510333726177,0.11944867630572882,0.31962689355830864,32968.0,0.42762678961417133,0.23252851249696677,0.3398446978888619
마이플레이스,서울특별시 강남구 역삼동 792-7번지,0,0,0,0,0,0,0,0,강남구,역삼동,68953.0,0.040041767580815915,0.152857743680478,0.15587429118384988,0.40176642060533985,39460.0,0.6150532184490624,0.14442473390775468,0.24052204764318297
마천지구 3단지,서울특별시 송파구 마천동 블록,0,0,0,0,1,0,0,0,송파구,마천동,33169.0,0.0325002261147457,0.37275769543851184,0.10790195664626609,0.23494829509481746,16247.0,0.4318335692743276,0.26374099833815473,0.3044254323875177
마포 하늘채 더리버,서울특별시 마포구 용강동 39-1번지,1,0,0,0,0,0,1,0,마포구,용강동,7339.0,0.08924921651451151,0.19702956806104374,0.0900667665894536,0.34977517372939093,3091.0,0.3241669362665804,0.21352313167259787,0.4623099320608217
마포구 공덕6구역 주택재개발 아파트,서울특별시 마포구 공덕동 119번지,1,1,1,1,1,0,1,0,마포구,공덕동,25223.0,0.06359275264639416,0.22550846449668954,0.13301351940689055,0.35416088490663283,12559.0,0.4657217931363962,0.21625925631021578,0.318018950553388
마포구 신공덕동 00도시형주택 신축공사,서울특별시 마포구 신공덕동 5-27번지,0,0,0,0,1,0,0,0,마포구,신공덕동,12191.0,0.06004429497170043,0.22984168649003364,0.14986465425313755,0.3332786481830859,5793.0,0.4289659934403591,0.23114103228033833,0.3398929742793026
마포동원베네스트아파트,서울특별시 마포구 도화동 564번지,0,0,1,0,0,0,0,0,마포구,도화동,21122.0,0.061405169964965436,0.2577407442477038,0.11731843575418995,0.33443802670201683,9990.0,0.42842842842842843,0.22332332332332333,0.34824824824824824
마포래미안푸르지오,서울특별시 마포구 아현동 635번지,1,1,1,1,0,0,1,0,마포구,아현동,28131.0,0.08446198144395863,0.22949770715580675,0.12217837972343677,0.34552628772528526,12786.0,0.3768966056624433,0.24722352573126857,0.37587986860628814
"마포로 5구역 10,11지구 도시재개발정비사업",서울특별시 중구 중림동 186-1번지,1,1,1,1,1,0,1,0,중구,중림동,6207.0,0.03512163686160786,0.3338166586112454,0.13146447559207347,0.300467214435315,3537.0,0.5824144755442465,0.19366694939214024,0.22391857506361323
마포로3-3 조합아파트,서울특별시 마포구 아현동 613-10번지,1,0,1,1,0,0,1,0,마포구,아현동,28131.0,0.08446198144395863,0.22949770715580675,0.12217837972343677,0.34552628772528526,12786.0,0.3768966056624433,0.24722352573126857,0.37587986860628814
마포월드컵제이스카이아파트,서울특별시 마포구 망원동 523번지,0,0,0,0,0,0,0,0,마포구,망원동,36014.0,0.03951241183984006,0.25903815182984397,0.148386738490587,0.33142666740711946,18379.0,0.4730942923989336,0.2494150933130203,0.27749061428804617
마포프레스티지자이,서울특별시 마포구 염리동 507번지,1,1,1,1,0,0,1,0,마포구,염리동,17927.0,0.07893122106320076,0.1893233669883416,0.1319796954314721,0.34138450382105207,8119.0,0.4080551792092622,0.20556718807734942,0.3863776327133884
만리동 예술인 협동조합형 공공주택,서울특별시 중구 만리동2가 218-105번지,0,0,0,0,0,0,0,0,중구,만리동2가,,0.04741384865155486,0.23813573211914413,0.13645773727076638,0.39812271321923715,,0.5322412418381118,0.24626272542385416,0.22149603273803406
만리동예술인협동조합주택,서울특별시 중구 만리동2가 218-105번지,0,0,0,0,0,0,0,0,중구,만리동2가,,0.04741384865155486,0.23813573211914413,0.13645773727076638,0.39812271321923715,,0.5322412418381118,0.24626272542385416,0.22149603273803406
망우동 세움2차 아파트 신축공사,서울특별시 중랑구 망우동 207-16번지,0,0,0,0,1,0,0,0,중랑구,망우동,53280.0,0.06022897897897898,0.30929054054054056,0.1154466966966967,0.29752252252252254,27021.0,0.47418674364383256,0.2365937604085711,0.28921949594759633
망우역 신원아침도시,서울특별시 중랑구 신내동 488번지,0,0,0,0,1,0,0,0,중랑구,신내동,56276.0,0.05291776245646457,0.3148411400952449,0.106955007463217,0.271554481484114,23595.0,0.3080737444373808,0.27327823691460057,0.41864801864801865
망원동 동원데쟈뷰아파트,서울특별시 마포구 망원동 466-2번지,0,0,1,1,0,0,0,0,마포구,망원동,36014.0,0.03951241183984006,0.25903815182984397,0.148386738490587,0.33142666740711946,18379.0,0.4730942923989336,0.2494150933130203,0.27749061428804617
메이플자이,서울특별시 서초구 잠원동 60-3번지,1,1,1,1,0,1,1,1,서초구,잠원동,50209.0,0.06952936724491625,0.20199565814893744,0.11583580632954252,0.2963014598976279,18907.0,0.24869096101972815,0.19886814407362352,0.5524408949066484
면목 루브루,서울특별시 중랑구 면목동 1542번지,0,0,0,0,0,0,0,0,중랑구,면목동,131788.0,0.04316781497556682,0.3180183324733663,0.12439675843020609,0.28782590220657417,68469.0,0.4805824533730593,0.2504198980560546,0.2689976485708861
면목동 준공공임대주택,서울특별시 중랑구 면목동 20-40번지,0,0,0,0,0,0,0,1,중랑구,면목동,131788.0,0.04316781497556682,0.3180183324733663,0.12439675843020609,0.28782590220657417,68469.0,0.4805824533730593,0.2504198980560546,0.2689976485708861
명륜1가 46-1,서울특별시 종로구 명륜1가 46-1번지,0,0,0,0,0,1,0,0,종로구,명륜1가,,0.05444225619553851,0.2939053873039847,0.10963736665461561,0.2656625009280932,,0.31532478059342345,0.24713171829237596,0.4375435011142006
명지해드는터,서울특별시 양천구 신정동 1300번지,0,0,0,0,1,0,0,0,양천구,신정동,169239.0,0.05630498880281732,0.25774200982043144,0.11717157392799532,0.27863553908968974,69277.0,0.3077356121079146,0.23247253778310262,0.45979185010898277
목동 중앙하이츠,서울특별시 양천구 신정동 282-71번지,0,1,1,1,0,0,0,0,양천구,신정동,169239.0,0.05630498880281732,0.25774200982043144,0.11717157392799532,0.27863553908968974,69277.0,0.3077356121079146,0.23247253778310262,0.45979185010898277
목동센트럴 아이파크위브 1단지,서울특별시 양천구 신월동 1075번지,1,1,1,1,1,0,1,1,양천구,신월동,115824.0,0.05131924298936317,0.32121149330017956,0.10931240502831883,0.27818932172952066,53742.0,0.3931747981094861,0.2591083324029623,0.34771686948755165
목동센트럴 아이파크위브 2단지,서울특별시 양천구 신월동 1076번지,1,1,1,1,1,0,1,1,양천구,신월동,115824.0,0.05131924298936317,0.32121149330017956,0.10931240502831883,0.27818932172952066,53742.0,0.3931747981094861,0.2591083324029623,0.34771686948755165
목동센트럴 아이파크위브 3단지,서울특별시 양천구 신월동 1077번지,1,1,1,1,1,0,1,1,양천구,신월동,115824.0,0.05131924298936317,0.32121149330017956,0.10931240502831883,0.27818932172952066,53742.0,0.3931747981094861,0.2591083324029623,0.34771686948755165
목동센트럴 아이파크위브 4단지,서울특별시 양천구 신월동 1078번지,1,1,1,1,1,0,1,1,양천구,신월동,115824.0,0.05131924298936317,0.32121149330017956,0.10931240502831883,0.27818932172952066,53742.0,0.3931747981094861,0.2591083324029623,0.34771686948755165
목동파크자이,서울특별시 양천구 신정동 171-61번지,1,1,1,1,0,0,1,0,양천구,신정동,169239.0,0.05630498880281732,0.25774200982043144,0.11717157392799532,0.27863553908968974,69277.0,0.3077356121079146,0.23247253778310262,0.45979185010898277
묵동 역세권 청년주택,서울특별시 중랑구 묵동 8번지,1,1,1,0,1,1,1,1,중랑구,묵동,51033.0,0.04538239962377285,0.29439774263711715,0.13211059510512804,0.28605020280994653,24094.0,0.4155806424836059,0.2518884369552586,0.33253092056113553
문래 롯데캐슬,서울특별시 영등포구 문래동6가 57번지,1,1,1,1,0,0,1,0,영등포구,문래동6가,,0.05296985364680829,0.2973977912759866,0.12995253826098144,0.29722079976855054,,0.45958235131892344,0.23634119916207605,0.3040764495190005
문래동모아미래도아파트,서울특별시 영등포구 문래동5가 67번지,0,0,1,1,0,0,0,0,영등포구,문래동5가,,0.05296985364680829,0.2973977912759866,0.12995253826098144,0.29722079976855054,,0.45958235131892344,0.23634119916207605,0.3040764495190005
문래진주아파트 주택재건축정비사업,서울특별시 영등포구 문래동5가 22번지,0,0,0,0,0,0,0,0,영등포구,문래동5가,,0.05296985364680829,0.2973977912759866,0.12995253826098144,0.29722079976855054,,0.45958235131892344,0.23634119916207605,0.3040764495190005
문정래미안아파트,서울특별시 송파구 문정동 1번지,0,0,0,0,1,0,0,0,송파구,문정동,63439.0,0.052444080139976985,0.2316713693469317,0.14607733413200083,0.3715380128942764,32010.0,0.48619181505779446,0.21730709153389566,0.2965010934083099
문정역 마에스트로,서울특별시 송파구 문정동 55-6번지,0,0,0,0,0,0,0,0,송파구,문정동,63439.0,0.052444080139976985,0.2316713693469317,0.14607733413200083,0.3715380128942764,32010.0,0.48619181505779446,0.21730709153389566,0.2965010934083099
문정역 역세권 청년주택,서울특별시 송파구 문정동 55-6번지,0,0,0,0,0,0,0,0,송파구,문정동,63439.0,0.052444080139976985,0.2316713693469317,0.14607733413200083,0.3715380128942764,32010.0,0.48619181505779446,0.21730709153389566,0.2965010934083099
미래빌라 소규모재건축 정비사업,서울특별시 구로구 오류동 68-21번지,0,0,1,1,0,0,0,0,구로구,오류동,42619.0,0.04655200732067857,0.2975668129238133,0.14362138952110562,0.30371430582604003,21933.0,0.4863447772762504,0.23562668125655406,0.2780285414671955
미랜드퀸아파트,서울특별시 송파구 풍납동 254번지,0,0,0,0,0,0,0,0,송파구,풍납동,34099.0,0.05703979588844248,0.29364497492595093,0.12320009384439426,0.2986011319980058,15683.0,0.3943760760058662,0.2435758464579481,0.3620480775361857
미아10-1구역 재개발 아파트,서울특별시 강북구 미아동 476번지,0,0,0,1,0,0,0,0,강북구,미아동,125075.0,0.043198081151309214,0.31711373176094343,0.12515690585648612,0.26098740755546673,60812.0,0.4423469052160758,0.24082417943826875,0.31682891534565544
미아9-2구역 주택재건축 정비사업,서울특별시 강북구 미아동 137-72번지,0,1,1,1,1,0,0,0,강북구,미아동,125075.0,0.043198081151309214,0.31711373176094343,0.12515690585648612,0.26098740755546673,60812.0,0.4423469052160758,0.24082417943826875,0.31682891534565544
미아뉴타운 두산위브 트레지움,서울특별시 강북구 미아동 653번지,1,1,1,1,1,0,1,0,강북구,미아동,125075.0,0.043198081151309214,0.31711373176094343,0.12515690585648612,0.26098740755546673,60812.0,0.4423469052160758,0.24082417943826875,0.31682891534565544
미아뉴타운제8구역재개발,서울특별시 강북구 미아동 653번지,0,0,1,1,1,0,0,0,강북구,미아동,125075.0,0.043198081151309214,0.31711373176094343,0.12515690585648612,0.26098740755546673,60812.0,0.4423469052160758,0.24082417943826875,0.31682891534565544
미아뉴타운지구 제12구역 주택재개발,서울특별시 강북구 미아동 1265-42번지,1,1,1,1,1,0,1,0,강북구,미아동,125075.0,0.043198081151309214,0.31711373176094343,0.12515690585648612,0.26098740755546673,60812.0,0.4423469052160758,0.24082417943826875,0.31682891534565544
미아동 703외 2필지 도시형생활주택(아파트형주택),서울특별시 강북구 미아동 703번지,0,0,1,0,0,0,0,0,강북구,미아동,125075.0,0.043198081151309214,0.31711373176094343,0.12515690585648612,0.26098740755546673,60812.0,0.4423469052160758,0.24082417943826875,0.31682891534565544
미아동 760-38번지 일원  자율주택정비사업 아파트,서울특별시 강북구 미아동 760-38번지,0,0,0,0,0,0,0,0,강북구,미아동,125075.0,0.043198081151309214,0.31711373176094343,0.12515690585648612,0.26098740755546673,60812.0,0.4423469052160758,0.24082417943826875,0.31682891534565544
미아재정비촉진4구역주택재건축정비사업,서울특별시 강북구 미아동 1261-376번지,0,0,1,1,0,0,0,0,강북구,미아동,125075.0,0.043198081151309214,0.31711373176094343,0.12515690585648612,0.26098740755546673,60812.0,0.4423469052160758,0.24082417943826875,0.31682891534565544
미정,서울특별시 강남구 대치동 951-3번지,0,1,1,1,0,1,0,0,강남구,대치동,79844.0,0.05374229748008617,0.18686438555182605,0.10859926857371875,0.29598967987575775,30168.0,0.27784407319013527,0.17740652346857597,0.5447494033412887
반도유보라,서울특별시 영등포구 당산동4가 1-3번지,0,0,1,1,0,0,0,0,영등포구,당산동4가,,0.05296985364680829,0.2973977912759866,0.12995253826098144,0.29722079976855054,,0.45958235131892344,0.23634119916207605,0.3040764495190005
반포 르엘,서울특별시 서초구 잠원동 74-1번지,1,1,1,1,0,0,1,0,서초구,잠원동,50209.0,0.06952936724491625,0.20199565814893744,0.11583580632954252,0.2963014598976279,18907.0,0.24869096101972815,0.19886814407362352,0.5524408949066484
반포 미주 재건축 아파트,서울특별시 서초구 반포동 16-1번지,0,0,1,1,0,0,0,0,서초구,반포동,77882.0,0.08586066099997432,0.1960915230733674,0.10676407899129452,0.32015099766313143,30286.0,0.29482269035197783,0.19101234894010433,0.5141649607079178
반포 센트레빌 아스테리움,서울특별시 서초구 반포동 30-16번지,1,1,1,0,0,1,1,1,서초구,반포동,77882.0,0.08586066099997432,0.1960915230733674,0.10676407899129452,0.32015099766313143,30286.0,0.29482269035197783,0.19101234894010433,0.5141649607079178
반포센트럴자이,서울특별시 서초구 잠원동 74-2번지,1,1,1,1,0,1,1,1,서초구,잠원동,50209.0,0.06952936724491625,0.20199565814893744,0.11583580632954252,0.2963014598976279,18907.0,0.24869096101972815,0.19886814407362352,0.5524408949066484
반포써밋,서울특별시 서초구 반포동 1342번지,1,1,1,1,0,0,1,0,서초구,반포동,77882.0,0.08586066099997432,0.1960915230733674,0.10676407899129452,0.32015099766313143,30286.0,0.29482269035197783,0.19101234894010433,0.5141649607079178
반포아파트 (제3주구),서울특별시 서초구 반포동 1109번지,1,1,1,1,0,1,1,0,서초구,반포동,77882.0,0.08586066099997432,0.1960915230733674,0.10676407899129452,0.32015099766313143,30286.0,0.29482269035197783,0.19101234894010433,0.5141649607079178
반포자이,서울특별시 서초구 반포동 20-43번지,1,0,1,1,1,0,1,0,서초구,반포동,77882.0,0.08586066099997432,0.1960915230733674,0.10676407899129452,0.32015099766313143,30286.0,0.29482269035197783,0.19101234894010433,0.5141649607079178
발산역 역세권청년주택,서울특별시 강서구 내발산동 647-1번지,0,0,0,0,0,0,0,0,강서구,내발산동,44212.0,0.061272957568081064,0.2298018637473989,0.11904007961639373,0.2850809734913598,17154.0,0.25323539699195524,0.2428588084411799,0.5039057945668649
발쿠치네하우스,서울특별시 강서구 공항동 60-8번지,0,0,0,0,1,0,0,0,강서구,공항동,17168.0,0.03325955265610438,0.2910647716682199,0.15173578751164957,0.31715983224603916,9979.0,0.5808197214149714,0.2165547650065137,0.20262551357851488
밤섬 리베뉴Ⅰ,서울특별시 마포구 상수동 402번지,0,1,1,1,0,0,0,0,마포구,상수동,7348.0,0.054028307022319,0.20087098530212302,0.22727272727272727,0.3326075122482308,4094.0,0.5806057645334636,0.1858817782120176,0.2335124572545188
밤섬 리베뉴Ⅱ,서울특별시 마포구 상수동 398번지,1,1,1,1,0,0,1,0,마포구,상수동,7348.0,0.054028307022319,0.20087098530212302,0.22727272727272727,0.3326075122482308,4094.0,0.5806057645334636,0.1858817782120176,0.2335124572545188
밤섬 예가 클래식,서울특별시 마포구 현석동 118번지,0,0,1,0,0,0,0,0,마포구,현석동,4994.0,0.07448938726471765,0.20564677613135762,0.11373648378053665,0.3342010412494994,2096.0,0.2958015267175573,0.2700381679389313,0.43416030534351147
밤섬경남아너스빌,서울특별시 마포구 신수동 325번지,0,1,1,1,0,0,0,0,마포구,신수동,15320.0,0.05796344647519582,0.22539164490861618,0.18178851174934726,0.29131853785900785,7470.0,0.46840696117804553,0.20240963855421687,0.3291834002677376
방배 e-편한세상,서울특별시 서초구 방배동 884-2번지,0,0,0,0,1,0,0,0,서초구,방배동,92677.0,0.05528879873107675,0.2554787056119641,0.12128143983944237,0.2988659537965191,39045.0,0.3370726085286208,0.2357792290946344,0.4271481623767448
방배 서리풀 그랑블,서울특별시 서초구 방배동 3279번지,0,0,0,0,0,0,0,0,서초구,방배동,92677.0,0.05528879873107675,0.2554787056119641,0.12128143983944237,0.2988659537965191,39045.0,0.3370726085286208,0.2357792290946344,0.4271481623767448
방배 신동아 럭스빌 아파트,서울특별시 서초구 방배동 1026-14번지,0,0,0,0,1,0,0,0,서초구,방배동,92677.0,0.05528879873107675,0.2554787056119641,0.12128143983944237,0.2988659537965191,39045.0,0.3370726085286208,0.2357792290946344,0.4271481623767448
방배 어울림,서울특별시 서초구 방배동 998번지,0,0,1,0,0,0,0,0,서초구,방배동,92677.0,0.05528879873107675,0.2554787056119641,0.12128143983944237,0.2988659537965191,39045.0,0.3370726085286208,0.2357792290946344,0.4271481623767448
방배 제14주택재건축정비사업조합,서울특별시 서초구 방배동 975-35번지,1,1,1,1,0,0,1,0,서초구,방배동,92677.0,0.05528879873107675,0.2554787056119641,0.12128143983944237,0.2988659537965191,39045.0,0.3370726085286208,0.2357792290946344,0.4271481623767448
