건물명,대지위치,운동시설,교육_학습시설,키즈시설,시니어시설,공유오피스_회의,라운지_휴게,사우나_목욕,편의_생활시설,기타미분류
고척동 산업인 아파트 주택 재건축 정비사업,서울특별시 구로구 고척동 57-9번지,0,1,1,1,0,0,0,0,1
고척동 삼익아파트,서울특별시 구로구 고척동 238-5번지,0,0,0,0,1,0,0,0,0
고척동 어르신안심주택,서울특별시 구로구 고척동 62-1번지,1,0,0,0,0,1,1,0,0
고척아이파크,서울특별시 구로구 고척동 351번지,1,1,1,1,0,0,1,1,1
골드타워,서울특별시 동작구 신대방동 351-5번지,0,0,0,0,0,0,0,0,1
공덕 SK 리더스뷰,서울특별시 마포구 공덕동 385-65번지,0,1,1,1,0,0,0,0,1
공덕1주택재건축,서울특별시 마포구 공덕동 105-84번지,1,1,1,1,0,1,1,0,0
공덕자이,서울특별시 마포구 아현동 380번지,0,0,1,1,0,0,0,0,1
공덕현대아파트 소규모재건축정비사업,서울특별시 마포구 공덕동 370-9번지,0,0,0,1,0,0,0,0,1
공동주택,서울특별시 성동구 금호동4가 235번지,0,0,1,0,0,0,0,0,0
공동주택 및 근린생활시설,서울특별시 동대문구 제기동 120-104번지,1,1,1,1,0,0,1,1,1
공동주택(아파트),서울특별시 서초구 잠원동 56-2번지,1,1,0,1,0,1,1,1,1
공릉1(태릉현대)주택재건축정비사업,서울특별시 노원구 공릉동 230번지,0,0,0,0,0,0,0,0,1
공릉동 대명아파트,서울특별시 노원구 공릉동 270-71번지,0,0,1,1,0,0,0,0,0
공릉삼익2차아파트,서울특별시 노원구 공릉동 754번지,0,0,0,0,1,0,0,0,0
공릉아파트,서울특별시 노원구 공릉동 708번지,0,0,0,0,0,0,0,0,1
공항동 원룸형도시형생활주택,서울특별시 강서구 공항동 53-9번지,0,0,0,0,0,0,0,0,1
관악 한일 유앤아이,서울특별시 관악구 봉천동 1727번지,0,0,1,0,0,0,0,0,0
관악드림타운,서울특별시 관악구 봉천동 산101번지,0,0,0,0,1,0,0,0,0
관악파크 푸르지오,서울특별시 관악구 봉천동 100-2번지,0,1,1,1,0,0,0,0,1
광성연립,서울특별시 영등포구 당산동4가 74번지,0,0,1,0,0,0,0,0,0
광성연립재건축아파트,서울특별시 강서구 방화동 553-3번지,0,0,0,0,0,0,0,0,1
광장자이아파트,서울특별시 광진구 광장동 581번지,0,0,1,1,0,0,0,0,1
광장힐스테이트,서울특별시 광진구 광장동 427번지,0,0,1,1,0,0,0,0,0
광진 파크 프라이빗,서울특별시 광진구 구의동 204-3번지,0,0,0,0,1,0,0,0,0
광진구 화양동 32-12 가로주택정비사업 아파트,서울특별시 광진구 화양동 32-12번지,0,0,0,0,0,0,0,0,1
광진스위트엠 아파트,서울특별시 광진구 화양동 499-18번지,0,0,0,0,0,0,0,0,1
광진하우스토리 한강,서울특별시 광진구 자양동 813번지,0,0,1,0,0,0,0,0,1
구로구 고척동 아파트,서울특별시 구로구 고척동 156-18번지,0,0,1,1,0,0,0,0,1
구로동440번지일대(보광아파트)재건축정비사업,서울특별시 구로구 구로동 440번지,0,1,1,1,1,1,0,0,1
구로지웰,서울특별시 구로구 구로동 329-27번지,0,0,1,1,0,0,0,0,0
구립 약수경로당 행복주택 복합시설,서울특별시 동작구 상도동 211-438번지,0,0,0,1,0,0,0,0,0
구의동 청년주택,서울특별시 광진구 구의동 246-10번지,1,1,0,0,0,0,1,1,1
군관사(공릉) 위탁개발사업 공공주택 건설사업,서울특별시 노원구 공릉동 240-1번지,1,1,1,1,0,1,1,0,1
군인아파트,서울특별시 송파구 장지동 블록,0,1,1,1,0,0,0,0,1
궁동 에스하임,서울특별시 구로구 궁동 192-7번지,0,1,1,0,0,1,0,0,1
그란츠 리버파크,서울특별시 강동구 성내동 15번지,0,1,1,1,0,0,0,0,0
그린나래,서울특별시 구로구 오류동 118-43번지,0,0,0,0,0,0,0,0,1
그린씨티아파트,서울특별시 강서구 내발산동 716-16번지,0,0,0,0,1,0,0,0,0
금강 아미움 아파트,서울특별시 동대문구 장안동 574번지,0,0,0,0,0,0,0,0,1
금강리버파크 도시형생활주택(단지형다세대주택),서울특별시 중랑구 묵동 242-51번지,0,0,0,0,0,0,0,0,1
금강아파트,서울특별시 구로구 오류동 343번지,0,0,0,0,0,0,0,0,1
금광포란재아파트,서울특별시 도봉구 방학동 714-1번지,0,0,0,0,1,0,0,0,0
금오상운 도시형생활주택(단지형연립주택),서울특별시 도봉구 도봉동 597-55번지,0,0,0,0,0,0,0,0,1
금천에듀포레 아파트(가칭),서울특별시 금천구 시흥동 1004번지,0,0,0,0,0,0,0,0,1
금하뜨라네아파트,서울특별시 양천구 신월동 142-14번지,0,0,1,1,0,0,0,0,0
금호자이 2차 아파트,서울특별시 성동구 금호동3가 632번지,0,0,1,1,0,1,0,0,1
금호제16구역 재개발 정비사업,서울특별시 성동구 금호동2가 501-31번지,0,1,1,1,0,0,0,0,1
금호제20구역 주택재개발 정비사업,서울특별시 성동구 금호동4가 56-1번지,1,0,1,1,0,0,1,0,1
길동아파트,서울특별시 강동구 길동 298-1번지,0,0,0,0,0,0,0,0,1
